MSSubClass,BldgType,Heating,Exterior2nd,Street,MSZoning,CentralAir,RoofMatl,Condition1,Exterior1st,MasVnrType,SaleType,LandContour,GarageType,Condition2,LotConfig,LandSlope,RoofStyle,SaleCondition,LotShape,MiscFeature,Neighborhood,HouseStyle,Alley,Foundation,MSSubClass,BldgType,Heating,Exterior2nd,Street,MSZoning,CentralAir,RoofMatl,Condition1,Exterior1st,MasVnrType,SaleType,LandContour,GarageType,Condition2,LotConfig,LandSlope,RoofStyle,SaleCondition,LotShape,MiscFeature,Neighborhood,HouseStyle,Alley,Foundation
20,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,BrkFace,WD,Lvl,Attchd,Norm,Corner,Gtl,Hip,Normal,IR1,None,NAmes,1Story,None,CBlock,20,0,1,8,1,4,1,1,2,8,1,9,3,1,2,0,0,3,4,0,1,12,2,1,1
45,1Fam,GasA,Wd Sdng,Pave,RM,Y,CompShg,Norm,Wd Sdng,None,WD,Lvl,Detchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,BrkSide,1.5Unf,None,BrkTil,45,0,1,15,1,5,1,1,2,14,2,9,3,5,2,0,0,1,4,3,1,3,1,1,0
20,1Fam,GasA,Wd Sdng,Pave,RL,Y,CompShg,Norm,Wd Sdng,BrkFace,WD,Lvl,Attchd,Norm,CulDSac,Gtl,Gable,Normal,IR1,Shed,NAmes,1Story,None,CBlock,20,0,1,15,1,4,1,1,2,14,1,9,3,1,2,1,0,1,4,0,3,12,2,1,1
90,Duplex,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,None,WD,Lvl,CarPort,Norm,Inside,Gtl,Gable,Normal,Reg,Shed,Sawyer,1Story,None,Slab,90,2,1,8,1,4,1,1,2,8,2,9,3,4,2,4,0,1,4,3,3,19,2,1,3
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,RRAe,VinylSd,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,SawyerW,1Story,None,PConc,20,0,1,14,1,4,1,1,5,13,2,9,3,5,2,4,0,1,4,3,1,20,2,1,2
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,Norm,BrkFace,None,COD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Abnorml,Reg,None,NAmes,1Story,None,CBlock,20,0,1,11,1,4,1,1,2,3,2,0,3,1,2,4,0,3,0,3,1,12,2,1,1
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,New,Lvl,BuiltIn,Norm,Corner,Gtl,Gable,Partial,IR1,None,NridgHt,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,1,6,3,3,2,0,0,1,5,0,1,16,5,1,2
45,1Fam,GasA,Wd Sdng,Pave,RM,Y,CompShg,Norm,Wd Sdng,None,WD,Bnk,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,IDOTRR,1.5Unf,Grvl,PConc,45,0,1,15,1,5,1,1,2,14,2,9,0,1,2,4,0,1,4,3,1,9,1,0,2
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,CollgCr,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,1,9,3,1,2,4,0,3,4,3,1,5,2,1,2
120,TwnhsE,GasA,CmentBd,Pave,RM,Y,CompShg,Norm,CemntBd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,MeadowV,1Story,None,PConc,120,4,1,5,1,5,1,1,2,5,2,9,3,1,2,4,0,1,4,3,1,10,2,1,2
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,Norm,Plywood,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,Sawyer,1Story,None,CBlock,20,0,1,11,1,4,1,1,2,10,2,9,3,1,2,4,0,1,4,0,1,19,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,Stone,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,NridgHt,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,3,9,3,1,2,0,0,1,4,3,1,16,2,1,2
20,1Fam,GasA,Wd Sdng,Pave,RL,Y,CompShg,Norm,Wd Sdng,None,WD,Lvl,Detchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,NAmes,1Story,None,CBlock,20,0,1,15,1,4,1,1,2,14,2,9,3,5,2,0,0,1,4,3,1,12,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,Stone,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,NridgHt,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,3,9,3,1,2,4,0,1,4,3,1,16,2,1,2
20,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,None,WD,Lvl,Attchd,Norm,CulDSac,Gtl,Gable,Normal,IR1,None,NAmes,1Story,None,CBlock,20,0,1,8,1,4,1,1,2,8,2,9,3,1,2,1,0,1,4,0,1,12,2,1,1
30,1Fam,GasA,MetalSd,Pave,RM,N,CompShg,Feedr,MetalSd,None,WD,Lvl,Detchd,RRNn,Inside,Gtl,Gable,Normal,IR1,None,BrkSide,1Story,None,BrkTil,30,0,1,8,1,5,0,1,1,8,2,9,3,5,7,4,0,1,4,0,1,3,2,1,0
70,1Fam,GasA,BrkFace,Pave,C (all),N,CompShg,Feedr,BrkFace,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gambrel,Normal,Reg,None,IDOTRR,2Story,Pave,BrkTil,70,0,1,3,1,0,0,1,1,3,2,9,3,5,2,4,0,2,4,3,1,9,5,2,0
20,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Lvl,Attchd,Norm,CulDSac,Gtl,Gable,Normal,IR1,None,Sawyer,1Story,None,CBlock,20,0,1,6,1,4,1,1,2,6,2,9,3,1,2,1,0,1,4,0,1,19,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,CollgCr,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,2,9,3,1,2,0,0,1,4,3,1,5,2,1,2
20,1Fam,GasA,BrkFace,Pave,RL,Y,CompShg,Norm,BrkFace,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,IR1,None,NAmes,1Story,None,CBlock,20,0,1,3,1,4,1,1,2,3,2,9,3,1,2,4,0,3,4,0,1,12,2,1,1
120,TwnhsE,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,NridgHt,1Story,None,PConc,120,4,1,8,1,4,1,1,2,8,1,9,3,1,2,4,0,3,4,3,1,16,2,1,2
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,Stone,WD,Lvl,BuiltIn,Norm,Inside,Gtl,Gable,Normal,Reg,None,NridgHt,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,3,9,3,3,2,4,0,1,4,3,1,16,5,1,2
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,CollgCr,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,2,9,3,1,2,0,0,1,4,3,1,5,2,1,2
20,1Fam,GasA,Wd Sdng,Pave,RL,Y,CompShg,Norm,Wd Sdng,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,NAmes,1Story,None,CBlock,20,0,1,15,1,4,1,1,2,14,1,9,3,1,2,4,0,3,4,3,1,12,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Abnorml,Reg,None,NAmes,1Story,None,CBlock,20,0,1,14,1,4,1,1,2,13,2,9,3,5,2,4,0,1,0,3,1,12,2,1,1
90,Duplex,GasA,Plywood,Pave,RL,N,CompShg,Norm,AsbShng,None,WD,Lvl,None,Norm,Inside,Gtl,Gable,AdjLand,Reg,None,Edwards,1Story,None,PConc,90,2,1,11,1,4,0,1,2,0,2,9,3,6,2,4,0,1,1,3,1,7,2,1,2
20,1Fam,GasA,Wd Sdng,Pave,RL,Y,CompShg,Norm,Wd Sdng,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Abnorml,Reg,None,NAmes,1Story,None,CBlock,20,0,1,15,1,4,1,1,2,14,1,9,3,1,2,4,0,1,0,3,1,12,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Timber,1Story,None,CBlock,20,0,1,14,1,4,1,1,2,13,2,9,3,1,2,4,0,1,4,3,1,23,2,1,1
85,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Lvl,Attchd,Norm,CulDSac,Gtl,Gable,Normal,IR1,None,SawyerW,SFoyer,None,CBlock,85,0,1,6,1,4,1,1,2,6,2,9,3,1,2,1,0,1,4,0,1,20,6,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Detchd,Norm,CulDSac,Gtl,Hip,Normal,IR1,None,CollgCr,1Story,None,CBlock,20,0,1,14,1,4,1,1,2,13,2,9,3,5,2,1,0,3,4,0,1,5,2,1,1
20,1Fam,GasA,Wd Sdng,Pave,RL,Y,CompShg,Norm,BrkFace,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,NAmes,1Story,None,CBlock,20,0,1,15,1,4,1,1,2,3,2,9,3,1,2,4,0,1,4,3,1,12,2,1,1
120,TwnhsE,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Hip,Normal,Reg,None,NridgHt,1Story,None,PConc,120,4,1,8,1,4,1,1,2,8,1,9,3,1,2,4,0,3,4,3,1,16,2,1,2
50,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,CulDSac,Gtl,Gable,Abnorml,IR1,None,Mitchel,1.5Fin,None,PConc,50,0,1,14,1,4,1,1,2,13,2,9,3,1,2,1,0,1,0,0,1,11,0,1,2
20,1Fam,GasA,VinylSd,Pave,FV,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Somerst,1Story,None,PConc,20,0,1,14,1,1,1,1,2,13,2,9,3,1,2,4,0,1,4,3,1,21,2,1,2
190,2fmCon,GasA,MetalSd,Pave,RM,Y,CompShg,Norm,MetalSd,None,New,Lvl,None,Norm,Inside,Gtl,Gable,Partial,Reg,None,OldTown,2Story,None,BrkTil,190,1,1,8,1,5,1,1,2,8,2,6,3,6,2,4,0,1,5,3,1,17,5,1,0
20,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Sawyer,1Story,None,CBlock,20,0,1,6,1,4,1,1,2,6,2,9,3,1,2,4,0,1,4,3,1,19,2,1,1
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,IR2,None,Gilbert,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,2,9,3,1,2,0,0,1,4,1,1,8,5,1,2
50,1Fam,GasA,Wd Sdng,Pave,RM,Y,CompShg,Norm,Wd Sdng,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Normal,Reg,Shed,BrkSide,1.5Fin,None,PConc,50,0,1,15,1,5,1,1,2,14,2,9,3,5,2,4,0,1,4,3,3,3,0,1,2
90,Duplex,GasA,Wd Sdng,Grvl,RM,N,CompShg,RRNn,Wd Sdng,None,WD,Bnk,CarPort,Norm,Corner,Mod,Gable,Normal,IR2,None,IDOTRR,1Story,None,CBlock,90,2,1,15,0,5,0,1,8,14,2,9,0,4,2,0,1,1,4,1,1,9,2,1,1
20,1Fam,GasA,Wd Shng,Pave,RL,Y,WdShngl,Norm,WdShing,None,WD,Low,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,Veenker,1Story,None,CBlock,20,0,1,16,1,4,1,7,2,15,2,9,2,1,2,4,0,1,4,0,1,24,2,1,1
80,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,None,WD,Bnk,Detchd,Norm,Inside,Mod,Gable,Normal,Reg,None,NAmes,SLvl,None,CBlock,80,0,1,8,1,4,1,1,2,8,2,9,0,5,2,4,1,1,4,3,1,12,7,1,1
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,NAmes,1Story,None,CBlock,20,0,1,11,1,4,1,1,2,6,1,9,3,1,2,4,0,1,4,0,1,12,2,1,1
160,Twnhs,GasA,MetalSd,Pave,FV,Y,CompShg,Norm,MetalSd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Abnorml,Reg,None,Somerst,2Story,Pave,PConc,160,3,1,8,1,1,1,1,2,8,1,9,3,1,2,4,0,1,0,3,1,21,5,2,2
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,IR1,None,CollgCr,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,2,9,3,1,2,0,0,1,4,0,1,5,5,1,2
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,New,HLS,BuiltIn,Norm,CulDSac,Gtl,Hip,Partial,IR2,None,StoneBr,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,1,6,1,3,2,1,0,3,5,1,1,22,5,1,2
20,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Bnk,Detchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,CollgCr,1Story,None,CBlock,20,0,1,6,1,4,1,1,2,6,2,9,0,5,2,4,0,1,4,3,1,5,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,RRAe,VinylSd,None,New,Lvl,Detchd,Norm,Inside,Gtl,Gable,Partial,Reg,None,SawyerW,1Story,None,PConc,20,0,1,14,1,4,1,1,5,13,2,6,3,5,2,4,0,1,5,3,1,20,2,1,2
75,1Fam,GasA,MetalSd,Pave,RM,N,CompShg,Norm,MetalSd,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,IDOTRR,2.5Unf,None,BrkTil,75,0,1,8,1,5,0,1,2,8,2,9,3,5,2,4,0,1,4,3,1,9,4,1,0
120,TwnhsE,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,Stone,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,NridgHt,1Story,None,PConc,120,4,1,14,1,4,1,1,2,13,3,9,3,1,2,4,0,1,4,0,1,16,2,1,2
70,1Fam,GasA,Stucco,Pave,RM,Y,CompShg,RRAn,Stucco,None,WD,Bnk,Detchd,Feedr,Inside,Gtl,Gable,Normal,IR1,None,OldTown,2Story,None,BrkTil,70,0,1,13,1,5,1,1,6,12,2,9,0,5,1,4,0,1,4,0,1,17,5,1,0
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,CollgCr,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,1,9,3,1,2,4,0,1,4,3,1,5,5,1,2
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,BuiltIn,Norm,Inside,Gtl,Gable,Normal,Reg,None,NridgHt,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,1,9,3,3,2,4,0,1,4,3,1,16,5,1,2
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,PosA,Plywood,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,NAmes,1Story,None,CBlock,20,0,1,11,1,4,1,1,3,10,1,9,3,1,2,4,0,1,4,3,1,12,2,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,CollgCr,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,1,9,3,1,2,4,0,1,4,0,1,5,2,1,2
30,1Fam,GasA,MetalSd,Pave,RM,Y,CompShg,Artery,MetalSd,None,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,OldTown,1Story,None,CBlock,30,0,1,8,1,5,1,1,0,8,2,9,3,1,2,0,0,1,4,3,1,17,2,1,1
50,1Fam,GasW,AsbShng,Pave,RL,Y,CompShg,Norm,BrkFace,None,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,ClearCr,1.5Fin,None,CBlock,50,0,2,0,1,4,1,1,2,3,2,9,3,1,2,0,0,1,4,3,1,4,0,1,1
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,Norm,Plywood,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,NAmes,1Story,None,CBlock,20,0,1,11,1,4,1,1,2,10,1,9,3,1,2,4,0,1,4,0,1,12,2,1,1
20,1Fam,GasA,Plywood,Pave,RL,Y,CompShg,Norm,HdBoard,None,WD,Lvl,Detchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,Mitchel,1Story,None,CBlock,20,0,1,11,1,4,1,1,2,6,2,9,3,5,2,0,0,1,4,3,1,11,2,1,1
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,IR1,None,Gilbert,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,1,9,3,1,2,0,0,1,4,0,1,8,5,1,2
20,1Fam,GasA,Wd Sdng,Pave,RL,Y,CompShg,Norm,Wd Sdng,BrkFace,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,NAmes,1Story,None,CBlock,20,0,1,15,1,4,1,1,2,14,1,9,3,1,2,4,0,1,4,3,1,12,2,1,1
50,1Fam,GasA,VinylSd,Pave,RM,N,CompShg,Norm,VinylSd,None,WD,Lvl,Detchd,Norm,Corner,Gtl,Gambrel,Normal,Reg,None,OldTown,2Story,None,CBlock,50,0,1,14,1,5,0,1,2,13,2,9,3,5,2,0,0,2,4,3,1,17,5,1,1
180,Twnhs,GasA,CmentBd,Pave,RM,Y,CompShg,Norm,CemntBd,None,WD,Lvl,BuiltIn,Norm,Inside,Gtl,Gable,Normal,Reg,None,MeadowV,SLvl,None,CBlock,180,3,1,5,1,5,1,1,2,5,2,9,3,3,2,4,0,1,4,3,1,10,7,1,1
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,NAmes,1Story,None,CBlock,20,0,1,14,1,4,1,1,2,13,2,9,3,5,2,4,0,1,4,0,1,12,2,1,1
50,1Fam,GasA,Wd Sdng,Pave,RM,Y,CompShg,Norm,Wd Sdng,None,WD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,BrkSide,1.5Fin,None,CBlock,50,0,1,15,1,5,1,1,2,14,2,9,3,5,2,4,0,1,4,3,1,3,0,1,1
90,Duplex,GasA,HdBoard,Pave,RL,N,CompShg,Norm,HdBoard,None,WD,Lvl,None,Norm,Inside,Gtl,Hip,Normal,Reg,None,Sawyer,1Story,None,CBlock,90,2,1,6,1,4,0,1,2,6,2,9,3,6,2,4,0,3,4,3,1,19,2,1,1
50,1Fam,GasA,Wd Sdng,Pave,RM,Y,CompShg,Norm,Wd Sdng,None,WD,Lvl,Detchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,OldTown,2Story,Grvl,PConc,50,0,1,15,1,5,1,1,2,14,2,9,3,5,2,0,0,1,4,3,1,17,5,0,2
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,Corner,Gtl,Gable,Normal,Reg,None,NAmes,2Story,None,CBlock,60,0,1,14,1,4,1,1,2,13,1,9,3,1,2,0,0,1,4,3,1,12,5,1,1
120,TwnhsE,GasA,VinylSd,Pave,RM,Y,CompShg,Norm,VinylSd,BrkFace,WD,Lvl,Attchd,Norm,FR2,Gtl,Hip,Normal,Reg,None,Mitchel,1Story,None,PConc,120,4,1,14,1,5,1,1,2,13,1,9,3,1,2,2,0,3,4,3,1,11,2,1,2
20,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,Stone,WD,Lvl,Attchd,Norm,Inside,Gtl,Gable,Normal,Reg,None,Somerst,1Story,None,PConc,20,0,1,14,1,4,1,1,2,13,3,9,3,1,2,4,0,1,4,3,1,21,2,1,2
20,1Fam,GasA,MetalSd,Pave,RL,Y,CompShg,Norm,MetalSd,BrkCmn,COD,Lvl,Detchd,Norm,Inside,Gtl,Gable,Normal,IR1,None,NAmes,1Story,None,CBlock,20,0,1,8,1,4,1,1,2,8,0,0,3,5,2,4,0,1,4,0,1,12,2,1,1
80,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,BuiltIn,Norm,Inside,Gtl,Gable,Normal,IR1,Shed,Gilbert,SLvl,None,PConc,80,0,1,6,1,4,1,1,2,6,1,9,3,3,2,4,0,1,4,0,3,8,7,1,2
60,1Fam,GasA,HdBoard,Pave,RL,Y,CompShg,Norm,HdBoard,BrkFace,WD,Lvl,Attchd,Norm,Corner,Gtl,Hip,Normal,Reg,None,NoRidge,2Story,None,CBlock,60,0,1,6,1,4,1,1,2,6,1,9,3,1,2,0,0,3,4,3,1,15,5,1,1
60,1Fam,GasA,VinylSd,Pave,RL,Y,CompShg,Norm,VinylSd,None,WD,Lvl,BuiltIn,Norm,Inside,Gtl,Gable,Normal,IR2,None,Gilbert,2Story,None,PConc,60,0,1,14,1,4,1,1,2,13,2,9,3,3,2,4,0,1,4,1,1,8,5,1,2
